D:\Data\IMG\center_2019_07_30_14_15_02_654.jpg, D:\Data\IMG\left_2019_07_30_14_15_02_654.jpg, D:\Data\IMG\right_2019_07_30_14_15_02_654.jpg, 0, 0, 0, 7.796983E-05
D:\Data\IMG\center_2019_07_30_14_15_02_754.jpg, D:\Data\IMG\left_2019_07_30_14_15_02_754.jpg, D:\Data\IMG\right_2019_07_30_14_15_02_754.jpg, 0, 0, 0, 7.826598E-05
D:\Data\IMG\center_2019_07_30_14_15_02_854.jpg, D:\Data\IMG\left_2019_07_30_14_15_02_854.jpg, D:\Data\IMG\right_2019_07_30_14_15_02_854.jpg, 0, 0, 0, 7.833519E-05
D:\Data\IMG\center_2019_07_30_14_15_02_955.jpg, D:\Data\IMG\left_2019_07_30_14_15_02_955.jpg, D:\Data\IMG\right_2019_07_30_14_15_02_955.jpg, 0, 0, 0, 8.080455E-05
D:\Data\IMG\center_2019_07_30_14_15_03_056.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_056.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_056.jpg, 0, 0, 0, 7.989978E-05
D:\Data\IMG\center_2019_07_30_14_15_03_157.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_157.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_157.jpg, 0, 0, 0, 7.92821E-05
D:\Data\IMG\center_2019_07_30_14_15_03_257.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_257.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_257.jpg, 0, 0, 0, 7.899872E-05
D:\Data\IMG\center_2019_07_30_14_15_03_358.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_358.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_358.jpg, 0, 0, 0, 7.789639E-05
D:\Data\IMG\center_2019_07_30_14_15_03_458.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_458.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_458.jpg, 0, 0, 0, 7.820319E-05
D:\Data\IMG\center_2019_07_30_14_15_03_559.jpg, D:\Data\IMG\left_2019_07_30_14_15_03_559.jpg, D:\Data\IMG\right_2019_07_30_14_15_03_559.jpg, 0, 0, 0, 7.730111E-05
